2025-01-01 23:01:38,584 - INFO - Episode 10/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 1.00
2025-01-01 23:01:40,574 - INFO - Episode 20/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 1.00
2025-01-01 23:01:42,843 - INFO - Episode 30/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.99
2025-01-01 23:01:45,043 - INFO - Episode 40/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:18, Epsilon: 0.99
2025-01-01 23:01:47,204 - INFO - Episode 50/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.99
2025-01-01 23:01:49,503 - INFO - Episode 60/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.99
2025-01-01 23:01:51,825 - INFO - Episode 70/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.98
2025-01-01 23:01:53,973 - INFO - Episode 80/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.98
2025-01-01 23:01:56,304 - INFO - Episode 90/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.98
2025-01-01 23:01:58,463 - INFO - Episode 100/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.98
2025-01-01 23:02:00,784 - INFO - Episode 110/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.97
2025-01-01 23:02:02,947 - INFO - Episode 120/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.97
2025-01-01 23:02:05,234 - INFO - Episode 130/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:15, Epsilon: 0.97
2025-01-01 23:02:07,483 - INFO - Episode 140/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:18, Epsilon: 0.97
2025-01-01 23:02:09,742 - INFO - Episode 150/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.96
2025-01-01 23:02:11,943 - INFO - Episode 160/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:26, Epsilon: 0.96
2025-01-01 23:02:14,109 - INFO - Episode 170/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.96
2025-01-01 23:02:16,424 - INFO - Episode 180/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.96
2025-01-01 23:02:18,464 - INFO - Episode 190/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:18, Epsilon: 0.95
2025-01-01 23:02:20,713 - INFO - Episode 200/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.95
2025-01-01 23:02:22,758 - INFO - Episode 210/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.95
2025-01-01 23:02:25,059 - INFO - Episode 220/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.95
2025-01-01 23:02:27,726 - INFO - Episode 230/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.94
2025-01-01 23:02:29,945 - INFO - Episode 240/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:18, Epsilon: 0.94
2025-01-01 23:02:32,173 - INFO - Episode 250/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.94
2025-01-01 23:02:34,382 - INFO - Episode 260/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.94
2025-01-01 23:02:36,551 - INFO - Episode 270/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.93
2025-01-01 23:02:38,892 - INFO - Episode 280/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.93
2025-01-01 23:02:41,244 - INFO - Episode 290/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.93
2025-01-01 23:02:43,626 - INFO - Episode 300/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.93
2025-01-01 23:02:46,043 - INFO - Episode 310/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.92
